BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
3.0,0,663,5,396,0,1068.0,0,8414.0,70.0,0.0,0,8,6,1059.0,1963,154500
3.0,1,1032,5,431,0,2622.0,1,12256.0,98.0,362.0,32,5,8,1463.0,1994,325000
2.0,0,0,1,1008,1,1028.0,0,8960.0,56.0,0.0,0,6,5,1008.0,1927,115000
3.0,0,399,2,605,1,1664.0,0,5000.0,50.0,0.0,24,7,6,1004.0,1947,159000
2.0,2,1022,5,598,2,1620.0,2,12898.0,89.0,70.0,0,5,9,1620.0,2007,315500
1.0,1,150,3,0,1,630.0,0,1491.0,31.5,0.0,24,6,4,630.0,1972,75500
3.0,0,341,4,457,1,1954.0,1,15660.0,69.0,312.0,119,9,7,798.0,1939,311500
3.0,0,311,1,544,1,1456.0,0,2280.0,31.5,0.0,0,5,6,855.0,1978,146000
1.0,1,131,4,0,1,630.0,0,1936.0,31.5,0.0,0,6,4,630.0,1970,84500
3.0,0,0,1,816,1,1393.0,0,16466.0,59.0,0.0,0,7,5,816.0,1955,135500
3.0,0,0,1,861,1,1477.0,0,6292.0,52.0,0.0,50,7,7,861.0,1928,145000
3.0,0,510,1,354,0,874.0,0,9858.0,62.0,0.0,0,6,5,864.0,1968,130000
2.0,0,0,1,894,0,894.0,0,17869.125,107.5,0.0,20,4,3,894.0,1935,81000
3.0,0,2,5,1515,0,1535.0,1,10171.0,70.0,168.0,0,5,7,1517.0,2004,214000
3.0,0,0,1,924,0,1690.0,0,8063.0,69.0,0.0,48,5,6,924.0,2000,181000
2.0,0,643,4,365,1,1008.0,1,8923.0,66.0,0.0,18,7,5,1008.0,1953,134500
3.0,0,0,1,840,2,1720.0,1,8244.0,62.0,0.0,48,5,7,840.0,2004,183500
2.0,0,588,1,422,1,1134.0,0,7000.0,70.0,45.0,16,7,5,1010.0,1960,135000
2.0,0,0,1,1012,1,1012.0,0,8263.0,59.0,0.0,22,5,6,1012.0,1920,118400
3.0,1,1013,5,440,0,1479.0,1,10665.0,72.0,167.0,29,5,7,1453.0,2003,226000
3.0,0,168,0,284,0,1803.0,0,13125.0,88.0,67.0,0,4,5,1134.0,1957,155000
3.0,0,0,1,768,0,1590.0,1,9000.0,75.0,0.0,30,5,8,768.0,2008,210000
3.0,0,193,5,545,2,1476.0,1,8633.0,64.0,0.0,35,5,6,738.0,2005,173500
2.0,0,248,4,448,2,936.0,0,5868.0,74.0,0.0,0,7,5,936.0,1956,129000
3.0,1,560,5,871,2,1431.0,1,9017.0,68.0,0.0,35,5,7,1431.0,1999,192000
2.0,0,300,5,899,0,1199.0,1,7892.0,55.0,0.0,63,5,6,1199.0,1993,153900
3.0,1,24,5,1316,2,1340.0,1,8899.0,73.0,0.0,30,5,7,1340.0,2007,181134
2.0,0,120,3,744,1,864.0,0,17869.125,107.5,0.0,0,5,4,864.0,1951,141000
