BedroomAbvGr,BsmtExposure,BsmtFinSF1,BsmtFinType1,BsmtUnfSF,GarageFinish,GrLivArea,KitchenQual,LotArea,LotFrontage,MasVnrArea,OpenPorchSF,OverallCond,OverallQual,TotalBsmtSF,YearBuilt,SalePrice
3.0,0,922,0,392,0,1314.0,0,8400.0,70.0,0.0,0,6,5,1314.0,1957,145000
3.0,0,0,1,799,0,1571.0,0,7837.0,59.0,0.0,40,7,6,799.0,1993,178000
2.0,0,0,1,796,1,796.0,0,8777.0,67.0,0.0,0,7,5,796.0,1910,85000
3.0,0,569,2,162,1,1768.0,1,7200.0,60.0,252.0,0,7,5,731.0,1937,175000
3.0,0,218,3,808,1,1691.0,1,5000.0,50.0,0.0,0,6,5,1026.0,1924,127000
3.0,0,894,2,0,1,894.0,0,9800.0,70.0,0.0,0,7,5,894.0,1972,149900
3.0,1,0,1,684,2,1560.0,1,11911.0,107.5,0.0,38,5,6,684.0,2005,174000
3.0,0,735,4,61,1,1154.0,1,5436.0,40.0,0.0,96,8,4,796.0,1922,125500
3.0,0,588,1,606,2,1422.0,1,12090.0,78.0,210.0,0,6,6,1422.0,1981,175500
3.0,1,0,1,1496,1,1496.0,1,9158.0,76.0,140.0,130,5,8,1496.0,2007,225000
3.0,2,187,3,0,1,913.0,0,8400.0,70.0,0.0,0,5,6,814.0,1966,129000
3.0,1,516,2,380,0,1086.0,0,13400.0,85.0,415.0,0,5,5,1024.0,1966,159950
3.0,0,704,2,567,0,1601.0,0,11880.0,82.0,206.0,0,5,7,1271.0,1978,157000
3.0,0,454,4,314,1,1986.0,0,13600.0,85.0,176.0,42,6,7,768.0,1965,205000
3.0,0,0,1,1164,1,1164.0,0,9600.0,80.0,168.0,0,5,7,1164.0,1969,140000
4.0,0,0,1,1010,0,2267.0,1,8068.0,69.0,0.0,46,5,6,1010.0,2002,200000
3.0,3,35,1,905,1,2259.0,1,17869.125,69.0,184.0,120,5,6,1809.0,1953,217000
